a	a |
hatua	h a t u a |
hatuaminii	h a t u a m i n i i |
hatuangamizi	h a t u a n g a m i z i |
hatuanzi	h a t u a n z i |
hatuchunguzi	h a t u c h u n g u z i |
hatuelewi	h a t u e l e w i |
hatuendani	h a t u e n d a n i |
hatufanyi	h a t u f a n y i |
hatuingie	h a t u i n g i e |
hatujali	h a t u j a l i |
hatujamaliza	h a t u j a m a l i z a |
hatujapanga	h a t u j a p a n g a |
hatujapata	h a t u j a p a t a |
hatujawahi	h a t u j a w a h i |
hatujawayi	h a t u j a w a y i |
hatujisikii	h a t u j i s i k i i |
hatujivunie	h a t u j i v u n i e |
hatujui	h a t u j u i |
hatuko	h a t u k o |
hatukuelewa	h a t u k u e l e w a |
hatukuenda	h a t u k u e n d a |
hatukujua	h a t u k u j u a |
hatukukuwa	h a t u k u k u w a |
hatukuombi	h a t u k u o m b i |
hatukupata	h a t u k u p a t a |
hatukusababisha	h a t u k u s a b a b i s h a |
hatukuwa	h a t u k u w a |
hatukuweza	h a t u k u w e z a |
hatuna	h a t u n a |
hatungesikia	h a t u n g e s i k i a |
hatuonanake	h a t u o n a n a k e |
hatupashwi	h a t u p a s h w i |
hatupendanaki	h a t u p e n d a n a k i |
hatupotei	h a t u p o t e i |
hatusikilizi	h a t u s i k i l i z i |
hatuta	h a t u t a |
hatutaki	h a t u t a k i |
hatutakuwaka	h a t u t a k u w a k a |
hatutanii	h a t u t a n i i |
hatutaongea	h a t u t a o n g e a |
hatuwazi	h a t u w a z i |
hatuwezi	h a t u w e z i |
hatuyajua	h a t u y a j u a |
hatuyawahi	h a t u y a w a h i |
hau	h a u |
hauangazie	h a u a n g a z i e |
haudanganyaki	h a u d a n g a n y a k i |
haufanyi	h a u f a n y i |
haufikaki	h a u f i k a k i |
haufurahi	h a u f u r a h i |
haufurahishwi	h a u f u r a h i s h w i |
haugaramiwi	h a u g a r a m i w i |
hauimbwi	h a u i m b w i |
haujafanya	h a u j a f a n y a |
haujawahi	h a u j a w a h i |
haujibii	h a u j i b i i |
haujibu	h a u j i b u |
haujui	h a u j u i |
haujulikani	h a u j u l i k a n i |
haujuwe	h a u j u w e |
haukamatwi	h a u k a m a t w i |
hauko	h a u k o |
hauku	h a u k u |
haukubaliwi	h a u k u b a l i w i |
haukufanya	h a u k u f a n y a |
haukugundua	h a u k u g u n d u a |
haukuisoma	h a u k u i s o m a |
haukujikuta	h a u k u j i k u t a |
haukukuwa	h a u k u k u w a |
haukulala	h a u k u l a l a |
haukumbuki	h a u k u m b u k i |
haukumpigia	h a u k u m p i g i a |
haukuniambia	h a u k u n i a m b i a |
haukuona	h a u k u o n a |
haukuwa	h a u k u w a |
haukuwaza	h a u k u w a z a |
haumujui	h a u m u j u i |
hauna	h a u n a |
haunge	h a u n g e |
haungefikiria	h a u n g e f i k i r i a |
haungejikuta	h a u n g e j i k u t a |
haungeniokoa	h a u n g e n i o k o a |
haungenipata	h a u n g e n i p a t a |
haungepaswa	h a u n g e p a s w a |
haungesahau	h a u n g e s a h a u |
haungetumikisha	h a u n g e t u m i k i s h a |
haunikumbuke	h a u n i k u m b u k e |
haunikumbuki	h a u n i k u m b u k i |
haunisimamishi	h a u n i s i m a m i s h i |
hauonekani	h a u o n e k a n i |
hauoni	h a u o n i |
haupandi	h a u p a n d i |
haupashwe	h a u p a s h w e |
haupashwi	h a u p a s h w i |
haupendaki	h a u p e n d a k i |
haupendi	h a u p e n d i |
haupotezake	h a u p o t e z a k e |
hauruhusiwi	h a u r u h u s i w i |
hausahabwaki	h a u s a h a b w a k i |
hausikii	h a u s i k i i |
hausirikiaki	h a u s i r i k i a k i |
hausomi	h a u s o m i |
hauta	h a u t a |
hautaendaka	h a u t a e n d a k a |
hautafanya	h a u t a f a n y a |
hautafikiaka	h a u t a f i k i a k a |
hautaki	h a u t a k i |
hautakula	h a u t a k u l a |
hautakuwa	h a u t a k u w a |
hautamwambia	h a u t a m w a m b i a |
hautanilipa	h a u t a n i l i p a |
hautaonaka	h a u t a o n a k a |
hautapata	h a u t a p a t a |
hautapona	h a u t a p o n a |
hautapoteza	h a u t a p o t e z a |
hautaruhusiwa	h a u t a r u h u s i w a |
hautasikia	h a u t a s i k i a |
hautatumia	h a u t a t u m i a |
hautaweza	h a u t a w e z a |
hautii	h a u t i i |
hautokawa	h a u t o k a w a |
hautoki	h a u t o k i |
hauwezi	h a u w e z i |
hauya	h a u y a |
hauyaowana	h a u y a o w a n a |
hauyawahi	h a u y a w a h i |
hauzani	h a u z a n i |
hauzishaki	h a u z i s h a k i |
haviambatani	h a v i a m b a t a n i |
havijawahi	h a v i j a w a h i |
havikuaminika	h a v i k u a m i n i k a |
havikukuwa	h a v i k u k u w a |
havina	h a v i n a |
haviondowi	h a v i o n d o w i |
havipatikani	h a v i p a t i k a n i |
hawa	h a w a |
hawaandikaki	h a w a a n d i k a k i |
hawaelewekaki	h a w a e l e w e k a k i |
hawafikirii	h a w a f i k i r i i |
hawaielewi	h a w a i e l e w i |
hawajafikia	h a w a j a f i k i a |
hawajapona	h a w a j a p o n a |
hawajitii	h a w a j i t i i |
hawajui	h a w a j u i |
hawajuwe	h a w a j u w e |
hawako	h a w a k o |
hawakuambiaki	h a w a k u a m b i a k i |
hawakuiona	h a w a k u i o n a |
hawakujitenga	h a w a k u j i t e n g a |
hawakukuwa	h a w a k u k u w a |
hawakukuwaka	h a w a k u k u w a k a |
hawakuona	h a w a k u o n a |
hawakupenda	h a w a k u p e n d a |
hawakurizika	h a w a k u r i z i k a |
hawakutaka	h a w a k u t a k a |
hawakutayarisha	h a w a k u t a y a r i s h a |
hawakuwa	h a w a k u w a |
hawakuwaki	h a w a k u w a k i |
hawakuweza	h a w a k u w e z a |
hawamwamini	h a w a m w a m i n i |
hawana	h a w a n a |
hawangetusikia	h a w a n g e t u s i k i a |
hawaoneshaki	h a w a o n e s h a k i |
hawaoni	h a w a o n i |
hawaruhusiwi	h a w a r u h u s i w i |
hawata	h a w a t a |
hawataki	h a w a t a k i |
hawatakuja	h a w a t a k u j a |
hawatakuwa	h a w a t a k u w a |
hawatamutolea	h a w a t a m u t o l e a |
hawatoki	h a w a t o k i |
hawawasamehe	h a w a w a s a m e h e |
hawawezi	h a w a w e z i |
hawayafika	h a w a y a f i k a |
hawayaowa	h a w a y a o w a |
hawezi	h a w e z i |
haya	h a y a |
hayafanya	h a y a f a n y a |
hayajua	h a y a j u a |
hayakuya	h a y a k u y a |
hayaowa	h a y a o w a |
hayatiaka	h a y a t i a k a |
hayazaliwaka	h a y a z a l i w a k a |
hayo	h a y o |
hazarani	h a z a r a n i |
haziambiaki	h a z i a m b i a k i |
haziamini	h a z i a m i n i |
haziandikwi	h a z i a n d i k w i |
hazifaidiki	h a z i f a i d i k i |
haziheshimiwi	h a z i h e s h i m i w i |
haziheshimu	h a z i h e s h i m u |
haziingiliani	h a z i i n g i l i a n i |
hazijakadiriwa	h a z i j a k a d i r i w a |
hazijawahi	h a z i j a w a h i |
hazijui	h a z i j u i |
haziko	h a z i k o |
hazikukuwa	h a z i k u k u w a |
hazikuwaki	h a z i k u w a k i |
hazikuweza	h a z i k u w e z a |
hazilungulaki	h a z i l u n g u l a k i |
hazina	h a z i n a |
hazionekanaki	h a z i o n e k a n a k i |
hazionekani	h a z i o n e k a n i |
hazipiti	h a z i p i t i |
haziruhusu	h a z i r u h u s u |
hazisaidii	h a z i s a i d i i |
hazitokani	h a z i t o k a n i |
hazitumiki	h a z i t u m i k i |
hazitumikishwi	h a z i t u m i k i s h w i |
haziwakati	h a z i w a k a t i |
haziwezi	h a z i w e z i |
hazizungumzi	h a z i z u n g u m z i |
hazmat	h a z m a t |
hazo	h a z o |
hcov	h c o v |
hcov229e	h c o v 2 2 9 e |
hcovhku1	h c o v h k u 1 |
hcovnl63	h c o v n l 6 3 |
hcovoc43	h c o v o c 4 3 |
health	h e a l t h |
heather	h e a t h e r |
heavy	h e a v y |
hebdo	h e b d o |
hector	h e c t o r |
hécube	h é c u b e |
hee	h e e |
heee	h e e e |
hekalu	h e k a l u |
hekaluni	h e k a l u n i |
hekima	h e k i m a |
helen	h e l e n |
helena	h e l e n a |
helene	h e l e n e |
helens	h e l e n s |
helenus	h e l e n u s |
helikopta	h e l i k o p t a |
hema	h e m a |
hendrex	h e n d r e x |
henri	h e n r i |
henriette	h e n r i e t t e |
henry	h e n r y |
hepburn	h e p b u r n |
heri	h e r i |
hérisson	h é r i s s o n |
herpes	h e r p e s |
herufi	h e r u f i |
hesabu	h e s a b u |
heshima	h e s h i m a |
heshimia	h e s h i m i a |
heshimiwa	h e s h i m i w a |
heshimu	h e s h i m u |
hétéro	h é t é r o |
hewa	h e w a |
hewani	h e w a n i |
hibi	h i b i |
hibou	h i b o u |
hibu	h i b u |
hicho	h i c h o |
hideo	h i d e o |
—hii	— h i i |
hii	h i i |
hiki	h i k i |
hili	h i l i |
hill	h i l l |
hilo	h i l o |
himiza	h i m i z a |
himuro	h i m u r o |
hindouisme	h i n d o u i s m e |
hio	h i o |
hipitisha	h i p i t i s h a |
hisi	h i s i |
hisia	h i s i a |
historia	h i s t o r i a |
hitaji	h i t a j i |
hitajika	h i t a j i k a |
hitler	h i t l e r |
hiver	h i v e r |
hivi	h i v i |
hivo	h i v o |
hivyo	h i v y o |
hiyo	h i y o |
hizi	h i z i |
hizo	h i z o |
“hm”	“ h m ” |
hmm	h m m |
ho	h o |
hodi	h o d i |
hoffman	h o f f m a n |
hofu	h o f u |
hokkaido	h o k k a i d o |
hollande	h o l l a n d e |
holly	h o l l y |
hollywood	h o l l y w o o d |
holmes	h o l m e s |
hologic	h o l o g i c |
homa	h o m a |
homard	h o m a r d |
homosexuel	h o m o s e x u e l |
hong	h o n g |
hongera	h o n g e r a |
hongrie	h o n g r i e |
honjo	h o n j o |
hooker	h o o k e r |
hopistali	h o p i s t a l i |
hopital	h o p i t a l |
hopkins	h o p k i n s |
horn	h o r n |
hospitali	h o s p i t a l i |
hot	h o t |
hotel	h o t e l |
hôtel	h ô t e l |
hoteli	h o t e l i |
hotuba	h o t u b a |
house	h o u s e |
hovyo	h o v y o |
hr	h r |
huanan	h u a n a n |
huawezi	h u a w e z i |
hubei	h u b e i |
hudson	h u d s o n |
huduma	h u d u m a |
hudumiwa	h u d u m i w a |
hufikiriwa	h u f i k i r i w a |
hugo	h u g o |
hujapuuza	h u j a p u u z a |
huko	h u k o |
hukumu	h u k u m u |
hule	h u l e |
hum	h u m |
human	h u m a n |
humbert	h u m b e r t |
humu	h u m u |
huo	h u o |
huoshenshan	h u o s h e n s h a n |
huoyan	h u o y a n |
huru	h u r u |
huruma	h u r u m a |
husababisha	h u s a b a b i s h a |
husiana	h u s i a n a |
husika	h u s i k a |
husisha	h u s i s h a |
husishwa	h u s i s h w a |
husu	h u s u |
hutembea	h u t e m b e a |
hutoa	h u t o a |
hutolewa	h u t o l e w a |
hutuba	h u t u b a |
huu	h u u |
huwan	h u w a n |
huwezi	h u w e z i |
huyo	h u y o |
huyu	h u y u |
huzi	h u z i |
huzuni	h u z u n i |
hydrogene	h y d r o g e n e |
hygiene	h y g i e n e |
hygiénique	h y g i é n i q u e |
hygiéniques	h y g i é n i q u e s |
hypochlorite	h y p o c h l o r i t e |
i	i |
î	î |
ia	i a |
iacha	i a c h a |
iambukizwe	i a m b u k i z w e |
ian	i a n |
ianapashwa	i a n a p a s h w a |
ianyo	i a n y o |
ianze	i a n z e |
ianzishwe	i a n z i s h w e |
iba	i b a |
ibada	i b a d a |
ibakie	i b a k i e |
ibi	i b i |
ichapwa	i c h a p w a |
icnhini	i c n h i n i |
icone	i c o n e |
ida	i d a |
idadi	i d a d i |
idomenée	i d o m e n é e |
iende	i e n d e |
iendeke	i e n d e k e |
iendelee	i e n d e l e e |
ifanane	i f a n a n e |
ifanya	i f a n y a |
ifanyike	i f a n y i k e |
ifatayo	i f a t a y o |
ifaziwa	i f a z i w a |
ifike	i f i k e |
ifikirie	i f i k i r i e |
ifuatayo	i f u a t a y o |
iga	i g a |
igeuke	i g e u k e |
igg	i g g |
igm	i g m |
ignaz	i g n a z |
ihakikishe	i h a k i k i s h e |
ihakikishwe	i h a k i k i s h w e |
iharibike	i h a r i b i k e |
iingie	i i n g i e |
iite	i i t e |
iitika	i i t i k a |
iitike	i i t i k e |
iitwayo	i i t w a y o |
ijapokuwa	i j a p o k u w a |
ijapoukuwa	i j a p o u k u w a |
ijayo	i j a y o |
ika	i k a |
ikaachilia	i k a a c h i l i a |
ikaambia	i k a a m b i a |
ikaanguka	i k a a n g u k a |
ikaanza	i k a a n z a |
ikaendelea	i k a e n d e l e a |
ikageuka	i k a g e u k a |
ikagonga	i k a g o n g a |
ikaingia	i k a i n g i a |
ikaisha	i k a i s h a |
ikajulisha	i k a j u l i s h a |
ikalamula	i k a l a m u l a |
ikamubakilisha	i k a m u b a k i l i s h a |
ikamujibu	i k a m u j i b u |
ikamukoroga	i k a m u k o r o g a |
ikamulamusha	i k a m u l a m u s h a |
ikamupigia	i k a m u p i g i a |
ikamupita	i k a m u p i t a |
ikanibidi	i k a n i b i d i |
ikanitumia	i k a n i t u m i a |
ikaonekana	i k a o n e k a n a |
ikaongeza	i k a o n g e z a |
ikapendekezwa	i k a p e n d e k e z w a |
ikapotea	i k a p o t e a |
ikashakiwa	i k a s h a k i w a |
ikashauri	i k a s h a u r i |
ikashimamishwa	i k a s h i m a m i s h w a |
ikateremuka	i k a t e r e m u k a |
ikatereza	i k a t e r e z a |
ikatoka	i k a t o k a |
ikauke	i k a u k e |
ikavuka	i k a v u k a |
ikawa	i k a w a |
ikebana	i k e b a n a |
iki	i k i |
ikichelewa	i k i c h e l e w a |
ikifanya	i k i f a n y a |
ikifuatiwa	i k i f u a t i w a |
ikikumbusha	i k i k u m b u s h a |
ikikuwa	i k i k u w a |
ikilinganishwa	i k i l i n g a n i s h w a |
ikimaanisha	i k i m a a n i s h a |
ikimeremeta	i k i m e r e m e t a |
ikimuacha	i k i m u a c h a |
ikingali	i k i n g a l i |
ikionesha	i k i o n e s h a |
ikipatikana	i k i p a t i k a n a |
ikipigwa	i k i p i g w a |
ikipita	i k i p i t a |
ikisha	i k i s h a |
ikitembea	i k i t e m b e a |
ikitoa	i k i t o a |
ikitoka	i k i t o k a |
ikitokea	i k i t o k e a |
ikitoroka	i k i t o r o k a |
ikiwa	i k i w a |
ikiwekwa	i k i w e k w a |
ikiwemo	i k i w e m o |
ikiwezekana	i k i w e z e k a n a |
iko	i k o |
ikoleza	i k o l e z a |
ikubaliwe	i k u b a l i w e |
ikuepushe	i k u e p u s h e |
ikufikie	i k u f i k i e |
ikufurahia	i k u f u r a h i a |
ikulu	i k u l u |
ikumeze	i k u m e z e |
ikunyisha	i k u n y i s h a |
ikupe	i k u p e |
ikuponyoke	i k u p o n y o k e |
ikusaidie	i k u s a i d i e |
ikuwe	i k u w e |
ikuye	i k u y e |
ikuzoweye	i k u z o w e y e |
ila	i l a |
ile	i l e |
ili	i l i |
iliacha	i l i a c h a |
iliachwa	i l i a c h w a |
ilialika	i l i a l i k a |
iliambatana	i l i a m b a t a n a |
iliaminika	i l i a m i n i k a |
iliamua	i l i a m u a |
iliamuru	i l i a m u r u |
iliamusha	i l i a m u s h a |
iliandikwa	i l i a n d i k w a |
iliangalia	i l i a n g a l i a |
iliangazia	i l i a n g a z i a |
ilianguka	i l i a n g u k a |
ilianza	i l i a n z a |
ilianzaka	i l i a n z a k a |
ilianzisha	i l i a n z i s h a |
ilianzishwa	i l i a n z i s h w a |
iliaribisha	i l i a r i b i s h a |
ilibadilika	i l i b a d i l i k a |
ilibadilikaka	i l i b a d i l i k a k a |
ilibadilisha	i l i b a d i l i s h a |
ilibaka	i l i b a k a |
ilibaki	i l i b a k i |
ilibakia	i l i b a k i a |
ilibandikwa	i l i b a n d i k w a |
ilibidi	i l i b i d i |
ilichagua	i l i c h a g u a |
ilichangia	i l i c h a n g i a |
ilicheza	i l i c h e z a |
ilichoma	i l i c h o m a |
ilichunguzwa	i l i c h u n g u z w a |
ilidai	i l i d a i |
ilidaiwa	i l i d a i w a |
ilidumu	i l i d u m u |
ilie	i l i e |
ilielezea	i l i e l e z e a |
ilienda	i l i e n d a |
iliendelea	i l i e n d e l e a |
ilifaa	i l i f a a |
ilifanya	i l i f a n y a |
ilifanyika	i l i f a n y i k a |
ilifanywa	i l i f a n y w a |
ilifatiliwa	i l i f a t i l i w a |
ilificha	i l i f i c h a |
ilifika	i l i f i k a |
ilifikiria	i l i f i k i r i a |
ilifuatilia	i l i f u a t i l i a |
ilifuatwa	i l i f u a t w a |
ilifukuza	i l i f u k u z a |
ilifunga	i l i f u n g a |
ilifungwa	i l i f u n g w a |
ilifurahisha	i l i f u r a h i s h a |
ilifutwa	i l i f u t w a |
iligawa	i l i g a w a |
iligawanyika	i l i g a w a n y i k a |
iligeuka	i l i g e u k a |
iligeuza	i l i g e u z a |
iligundua	i l i g u n d u a |
iligundulika	i l i g u n d u l i k a |
iligunduliwa	i l i g u n d u l i w a |
iliguswa	i l i g u s w a |
ilihakikisha	i l i h a k i k i s h a |
ilihakikishwa	i l i h a k i k i s h w a |
ilihamia	i l i h a m i a |
iliharibika	i l i h a r i b i k a |
iliharibiwa	i l i h a r i b i w a |
iliharibu	i l i h a r i b u |
ilihesabu	i l i h e s a b u |
ilihimiza	i l i h i m i z a |
ilihomba	i l i h o m b a |
iliiba	i l i i b a |
iliisha	i l i i s h a |
iliishaka	i l i i s h a k a |
ilijaribu	i l i j a r i b u |
ilijengwa	i l i j e n g w a |
ilijifunga	i l i j i f u n g a |
ilijishurulisha	i l i j i s h u r u l i s h a |
ilijiweka	i l i j i w e k a |
ilijulishwa	i l i j u l i s h w a |
ilikamata	i l i k a m a t a |
ilikamatwa	i l i k a m a t w a |
ilikataliwa	i l i k a t a l i w a |
ilikataza	i l i k a t a z a |
ilikatazwa	i l i k a t a z w a |
ilikatika	i l i k a t i k a |
ilikua	i l i k u a |
ilikuasha	i l i k u a s h a |
ilikubali	i l i k u b a l i |
ilikubaliana	i l i k u b a l i a n a |
ilikubaliwa	i l i k u b a l i w a |
ilikufanya	i l i k u f a n y a |
ilikuishia	i l i k u i s h i a |
ilikusanywa	i l i k u s a n y w a |
ilikusudiwa	i l i k u s u d i w a |
ilikutanana	i l i k u t a n a n a |
ilikuwa	i l i k u w a |
ilikuwasha	i l i k u w a s h a |
ilikwama	i l i k w a m a |
ilikwaza	i l i k w a z a |
ililaaniwaka	i l i l a a n i w a k a |
ililalamika	i l i l a l a m i k a |
ililaumiwa	i l i l a u m i w a |
ililaumu	i l i l a u m u |
ililazimika	i l i l a z i m i k a |
ililazimisha	i l i l a z i m i s h a |
ilileta	i l i l e t a |
ililinganisha	i l i l i n g a n i s h a |
ililomba	i l i l o m b a |
ililumia	i l i l u m i a |
ililumisha	i l i l u m i s h a |
ililungula	i l i l u n g u l a |
ilimaanisha	i l i m a a n i s h a |
ilimakatiwa	i l i m a k a t i w a |
ilimaliza	i l i m a l i z a |
ilimalizika	i l i m a l i z i k a |
ilimubidi	i l i m u b i d i |
ilimufanya	i l i m u f a n y a |
ilimulazimisha	i l i m u l a z i m i s h a |
ilimuondoa	i l i m u o n d o a |
ilimusaidia	i l i m u s a i d i a |
ilingoroma	i l i n g o r o m a |
ilingunduwa	i l i n g u n d u w a |
iliniacha	i l i n i a c h a |
ilinibidi	i l i n i b i d i |
ilinielewesha	i l i n i e l e w e s h a |
ilinifanya	i l i n i f a n y a |
ilinifurahisha	i l i n i f u r a h i s h a |
ilinikumbusha	i l i n i k u m b u s h a |
ilinipa	i l i n i p a |
ilinitokea	i l i n i t o k e a |
ilinituma	i l i n i t u m a |
ilinitupa	i l i n i t u p a |
ilinyesha	i l i n y e s h a |
ilio	i l i o |
iliogopesha	i l i o g o p e s h a |
iliomba	i l i o m b a |
ilion	i l i o n |
iliona	i l i o n a |
iliondoa	i l i o n d o a |
iliondoka	i l i o n d o k a |
ilionekana	i l i o n e k a n a |
ilionesha	i l i o n e s h a |
iliongezeka	i l i o n g e z e k a |
iliongozwa	i l i o n g o z w a |
ilionya	i l i o n y a |
ilionyesha	i l i o n y e s h a |
ilipana	i l i p a n a |
ilipandwa	i l i p a n d w a |
ilipanga	i l i p a n g a |
ilipangwa	i l i p a n g w a |
ilipanua	i l i p a n u a |
ilipanwa	i l i p a n w a |
ilipashwa	i l i p a s h w a |
ilipasukia	i l i p a s u k i a |
ilipata	i l i p a t a |
ilipatia	i l i p a t i a |
ilipatikana	i l i p a t i k a n a |
ilipatwa	i l i p a t w a |
ilipeleka	i l i p e l e k a |
ilipelekea	i l i p e l e k e a |
ilipelekwa	i l i p e l e k w a |
ilipendekeza	i l i p e n d e k e z a |
ilipendekezwa	i l i p e n d e k e z w a |
ilipewa	i l i p e w a |
ilipiga	i l i p i g a |
ilipigwa	i l i p i g w a |
ilipima	i l i p i m a |
ilipingwa	i l i p i n g w a |
ilipita	i l i p i t a |
ilipitika	i l i p i t i k a |
ilipitikana	i l i p i t i k a n a |
ilipitisha	i l i p i t i s h a |
ilipitishwa	i l i p i t i s h w a |
ilipitishwe	i l i p i t i s h w e |
ilipitokea	i l i p i t o k e a |
ilipo	i l i p o |
ilipokelewa	i l i p o k e l e w a |
ilipotea	i l i p o t e a |
ilipoteza	i l i p o t e z a |
ilipunguka	i l i p u n g u k a |
ilipunguza	i l i p u n g u z a |
ilipunguzwa	i l i p u n g u z w a |
iliraisisha	i l i r a i s i s h a |
ilirikodi	i l i r i k o d i |
iliripoti	i l i r i p o t i |
iliripotiwa	i l i r i p o t i w a |
iliripuka	i l i r i p u k a |
ilirudi	i l i r u d i |
ilirudisha	i l i r u d i s h a |
iliruka	i l i r u k a |
ilisababisha	i l i s a b a b i s h a |
ilisababishwa	i l i s a b a b i s h w a |
ilisafirisha	i l i s a f i r i s h a |
ilisaidia	i l i s a i d i a |
ilisainiwa	i l i s a i n i w a |
ilisambarana	i l i s a m b a r a n a |
ilisambazwa	i l i s a m b a z w a |
ilisema	i l i s e m a |
ilisemekana	i l i s e m e k a n a |
ilisha	i l i s h a |
ilishaka	i l i s h a k a |
ilishapima	i l i s h a p i m a |
ilishapita	i l i s h a p i t a |
ilisharuhusiwa	i l i s h a r u h u s i w a |
ilishauri	i l i s h a u r i |
ilishimama	i l i s h i m a m a |
ilishimamishwa	i l i s h i m a m i s h w a |
ilishindwa	i l i s h i n d w a |
ilishurtisha	i l i s h u r t i s h a |
ilisifu	i l i s i f u |
ilisikika	i l i s i k i k a |
ilisikitika	i l i s i k i t i k a |
ilisimamishwa	i l i s i m a m i s h w a |
ilisomwa	i l i s o m w a |
ilisumbua	i l i s u m b u a |
ilitaja	i l i t a j a |
ilitajwa	i l i t a j w a |
ilitaka	i l i t a k a |
ilitakiwa	i l i t a k i w a |
ilitambala	i l i t a m b a l a |
ilitangaza	i l i t a n g a z a |
ilitangaziwa	i l i t a n g a z i w a |
ilitangazwa	i l i t a n g a z w a |
ilitangazwaa	i l i t a n g a z w a a |
ilitangulia	i l i t a n g u l i a |
ilitarajia	i l i t a r a j i a |
ilitawala	i l i t a w a l a |
ilitayarishwa	i l i t a y a r i s h w a |
ilitembea	i l i t e m b e a |
ilitengaka	i l i t e n g a k a |
ilitengeneza	i l i t e n g e n e z a |
ilitengenezwa	i l i t e n g e n e z w a |
ilitengwa	i l i t e n g w a |
ilitoa	i l i t o a |
ilitoboa	i l i t o b o a |
ilitoka	i l i t o k a |
ilitokana	i l i t o k a n a |
ilitokea	i l i t o k e a |
ilitolewa	i l i t o l e w a |
ilitoroka	i l i t o r o k a |
ilitosha	i l i t o s h a |
ilitowa	i l i t o w a |
ilitua	i l i t u a |
ilitubidi	i l i t u b i d i |
ilitufata	i l i t u f a t a |
ilitukamata	i l i t u k a m a t a |
ilituma	i l i t u m a |
ilitumaka	i l i t u m a k a |
ilitumanisha	i l i t u m a n i s h a |
ilitumikisha	i l i t u m i k i s h a |
ilitumikishwa	i l i t u m i k i s h w a |
ilitumwa	i l i t u m w a |
ilitunyonyeshaka	i l i t u n y o n y e s h a k a |
ilitupia	i l i t u p i a |
iliua	i l i u a |
iliuliza	i l i u l i z a |
iliumiza	i l i u m i z a |
iliunda	i l i u n d a |
iliundwa	i l i u n d w a |
iliungwa	i l i u n g w a |
iliuza	i l i u z a |
iliuzisha	i l i u z i s h a |
ilivunjika	i l i v u n j i k a |
ilivyo	i l i v y o |
ilivyotarajiwa	i l i v y o t a r a j i w a |
iliwasiliana	i l i w a s i l i a n a |
iliweka	i l i w e k a |
iliweza	i l i w e z a |
iliwezesha	i l i w e z e s h a |
iliyo	i l i y o |
iliyoandaliwa	i l i y o a n d a l i w a |
iliyofanywa	i l i y o f a n y w a |
iliyopendekezwa	i l i y o p e n d e k e z w a |
iliyopewa	i l i y o p e w a |
iliyopita	i l i y o p i t a |
iliyowekwa	i l i y o w e k w a |
ilizalishwa	i l i z a l i s h w a |
ilizaliwa	i l i z a l i w a |
ilizama	i l i z a m a |
ilizidi	i l i z i d i |
ilizimika	i l i z i m i k a |
ilizuiliwa	i l i z u i l i w a |
ilizuwia	i l i z u w i a |
illustrations	i l l u s t r a t i o n s |
imani	i m a n i |
imara	i m a r a |
imbu	i m b u |
imbwa	i m b w a |
imefanyika	i m e f a n y i k a |
imefikia	i m e f i k i a |
imeharibika	i m e h a r i b i k a |
imeharibu	i m e h a r i b u |
imeingia	i m e i n g i a |
imejibu	i m e j i b u |
imejitenga	i m e j i t e n g a |
imekufa	i m e k u f a |
imepangwa	i m e p a n g w a |
imependekezwa	i m e p e n d e k e z w a |
imepitishwa	i m e p i t i s h w a |
imepokea	i m e p o k e a |
imesahau	i m e s a h a u |
imesemwa	i m e s e m w a |
imeshauriwa	i m e s h a u r i w a |
imetangaza	i m e t a n g a z a |
imetoka	i m e t o k a |
imeumbwa	i m e u m b w a |
imperial	i m p e r i a l |
imperialisme	i m p e r i a l i s m e |
imprimer	i m p r i m e r |
imwangike	i m w a n g i k e |
in	i n |
ina	i n a |
inaabudu	i n a a b u d u |
inaacha	i n a a c h a |
inaambatana	i n a a m b a t a n a |
inaambatanishwa	i n a a m b a t a n i s h w a |
inaambukia	i n a a m b u k i a |
inaambukizaka	i n a a m b u k i z a k a |
inaambukizwa	i n a a m b u k i z w a |
inaamini	i n a a m i n i |
inaamuaka	i n a a m u a k a |
inaandaliwa	i n a a n d a l i w a |
inaandikwa	i n a a n d i k w a |
inaangaika	i n a a n g a i k a |
inaangara	i n a a n g a r a |
inaangazaka	i n a a n g a z a k a |
inaanguka	i n a a n g u k a |
inaanza	i n a a n z a |
inaanzisha	i n a a n z i s h a |
inabadilika	i n a b a d i l i k a |
inabadilishwa	i n a b a d i l i s h w a |
inabaki	i n a b a k i |
inabakia	i n a b a k i a |
inabeba	i n a b e b a |
inabidi	i n a b i d i |
inabidilisha	i n a b i d i l i s h a |
inachaguwaka	i n a c h a g u w a k a |
inachambua	i n a c h a m b u a |
inachanganya	i n a c h a n g a n y a |
inachekesha	i n a c h e k e s h a |
inacheza	i n a c h e z a |
inachokeshaka	i n a c h o k e s h a k a |
inachukulia	i n a c h u k u l i a |
inachukuliwa	i n a c h u k u l i w a |
inachunguza	i n a c h u n g u z a |
inadai	i n a d a i |
inadema	i n a d e m a |
inadumu	i n a d u m u |
inaelekea	i n a e l e k e a |
inaelemewa	i n a e l e m e w a |
inaeleza	i n a e l e z a |
inaelezwa	i n a e l e z w a |
inaenda	i n a e n d a |
inaendana	i n a e n d a n a |
inaendeka	i n a e n d e k a |
inaendelea	i n a e n d e l e a |
inaendesha	i n a e n d e s h a |
inafaa	i n a f a a |
inafafanua	i n a f a f a n u a |
inafana	i n a f a n a |
inafanana	i n a f a n a n a |
