a	a |
bandako	b a n d a k o |
bandal	b a n d a l |
bandeko	b a n d e k o |
bandenge	b a n d e n g e |
bandi	b a n d i |
bandima	b a n d i m a |
bandimi	b a n d i m i |
bandoki	b a n d o k i |
banduliste	b a n d u l i s t e |
bandundu	b a n d u n d u |
bandɔtɔ	b a n d ɔ t ɔ |
bangamba	b a n g a m b a |
bangamelo	b a n g a m e l o |
banganda	b a n g a n d a |
bangando	b a n g a n d o |
banganga	b a n g a n g a |
bangaya	b a n g a y a |
bangi	b a n g i |
bango	b a n g o |
bangonga	b a n g o n g a |
baninga	b a n i n g a |
banini	b a n i n i |
banki	b a n k i |
bankombo	b a n k o m b o |
banoko	b a n o k o |
banque	b a n q u e |
bansango	b a n s a n g o |
banso	b a n s o |
banzala	b a n z a l a |
banzela	b a n z e l a |
banzele	b a n z e l e |
banzembo	b a n z e m b o |
banzete	b a n z e t e |
banzinzi	b a n z i n z i |
banzungu	b a n z u n g u |
baoperation	b a o p e r a t i o n |
baoyɔ	b a o y ɔ |
bapagano	b a p a g a n o |
bapalangani	b a p a l a n g a n i |
bapantalons	b a p a n t a l o n s |
bapanzi	b a p a n z i |
bapapier	b a p a p i e r |
baparisiens	b a p a r i s i e n s |
bapasteurs	b a p a s t e u r s |
bapatron	b a p a t r o n |
bapaya	b a p a y a |
bapekisa	b a p e k i s a |
bapeliseli	b a p e l i s e l i |
bapemaka	b a p e m a k a |
baperdaki	b a p e r d a k i |
bapere	b a p e r e |
bapesa	b a p e s a |
bapesaka	b a p e s a k a |
bapesanaki	b a p e s a n a k i |
bapesani	b a p e s a n i |
bapetits	b a p e t i t s |
bapimela	b a p i m e l a |
bapimeli	b a p i m e l i |
baplacaka	b a p l a c a k a |
baplace	b a p l a c e |
baplan	b a p l a n |
baplastiques	b a p l a s t i q u e s |
bapolice	b a p o l i c e |
bapolicier	b a p o l i c i e r |
bapoliciers	b a p o l i c i e r s |
bapolo	b a p o l o |
bapomba	b a p o m b a |
baponi	b a p o n i |
baposa	b a p o s a |
bapotana	b a p o t a n a |
bapoteau	b a p o t e a u |
bappareil	b a p p a r e i l |
bapretre	b a p r e t r e |
baprojet	b a p r o j e t |
bapure	b a p u r e |
bapusana	b a p u s a n a |
baquatre	b a q u a t r e |
baquin	b a q u i n |
bar	b a r |
baraisons	b a r a i s o n s |
barealite	b a r e a l i t e |
bareflexion	b a r e f l e x i o n |
barefouler	b a r e f o u l e r |
baremarquer	b a r e m a r q u e r |
barenvoyer	b a r e n v o y e r |
barisque	b a r i s q u e |
barman	b a r m a n |
baroman	b a r o m a n |
barumbu	b a r u m b u |
basakana	b a s a k a n a |
basakanaka	b a s a k a n a k a |
basala	b a s a l a |
basalade	b a s a l a d e |
basalaka	b a s a l a k a |
basalaki	b a s a l a k i |
basalela	b a s a l e l a |
basalelaki	b a s a l e l a k i |
basali	b a s a l i |
basambelaka	b a s a m b e l a k a |
basambelaki	b a s a m b e l a k i |
basanganaki	b a s a n g a n a k i |
basangani	b a s a n g a n i |
basango	b a s a n g o |
basangombangunza	b a s a n g o m b a n g u n z a |
basani	b a s a n i |
basanza	b a s a n z a |
basapato	b a s a p a t o |
basapeur	b a s a p e u r |
basapeurs	b a s a p e u r s |
basarah	b a s a r a h |
basashe	b a s a s h e |
basavants	b a s a v a n t s |
baseconde	b a s e c o n d e |
basekaki	b a s e k a k i |
basengaka	b a s e n g a k a |
basengaki	b a s e n g a k i |
basengi	b a s e n g i |
basepela	b a s e p e l a |
basepelaki	b a s e p e l a k i |
basepi	b a s e p i |
bashekula	b a s h e k u l a |
basi	b a s i |
basile	b a s i l e |
basili	b a s i l i |
basilika	b a s i l i k a |
basilisa	b a s i l i s a |
basilisi	b a s i l i s i |
basilissi	b a s i l i s s i |
basmartfone	b a s m a r t f o n e |
basociete	b a s o c i e t e |
basoda	b a s o d a |
basoeur	b a s o e u r |
basololaka	b a s o l o l a k a |
basololaki	b a s o l o l a k i |
basololi	b a s o l o l i |
basomba	b a s o m b a |
basombaka	b a s o m b a k a |
basombaki	b a s o m b a k i |
basombal	b a s o m b a l |
basombi	b a s o m b i |
basonge	b a s o n g e |
basuka	b a s u k a |
basukaki	b a s u k a k i |
basukali	b a s u k a l i |
basukola	b a s u k o l a |
basunga	b a s u n g a |
basusu	b a s u s u |
basutuka	b a s u t u k a |
batala	b a t a l a |
batalaka	b a t a l a k a |
batalaki	b a t a l a k i |
batalani	b a t a l a n i |
batali	b a t a l i |
batalisaki	b a t a l i s a k i |
batambola	b a t a m b o l a |
batambolaka	b a t a m b o l a k a |
batamboli	b a t a m b o l i |
batanga	b a t a n g a |
batangaka	b a t a n g a k a |
batangela	b a t a n g e l a |
batangi	b a t a n g i |
batango	b a t a n g o |
batata	b a t a t a |
bateka	b a t e k a |
batekaki	b a t e k a k i |
bateke	b a t e k e |
bateki	b a t e k i |
batela	b a t e l a |
batelema	b a t e l e m a |
batelemaki	b a t e l e m a k i |
batelemi	b a t e l e m i |
batenue	b a t e n u e |
bathese	b a t h e s e |
baticket	b a t i c k e t |
batie	b a t i e |
batielaka	b a t i e l a k a |
batiene	b a t i e n e |
batika	b a t i k a |
batikala	b a t i k a l a |
batikalaki	b a t i k a l a k i |
batikali	b a t i k a l i |
batikanaki	b a t i k a n a k i |
batikeli	b a t i k e l i |
batiki	b a t i k i |
batindaka	b a t i n d a k a |
batindaki	b a t i n d a k i |
batindeli	b a t i n d e l i |
batindi	b a t i n d i |
batintin	b a t i n t i n |
batiya	b a t i y a |
bato	b a t o |
batokaka	b a t o k a k a |
batomboki	b a t o m b o k i |
batombola	b a t o m b o l a |
batomboli	b a t o m b o l i |
batondaka	b a t o n d a k a |
batondaki	b a t o n d a k i |
batondeli	b a t o n d e l i |
batonga	b a t o n g a |
batongi	b a t o n g i |
batosa	b a t o s a |
batouriste	b a t o u r i s t e |
batours	b a t o u r s |
batu	b a t u |
batuni	b a t u n i |
batɔnga	b a t ɔ n g a |
bauniversites	b a u n i v e r s i t e s |
bavedette	b a v e d e t t e |
baverifier	b a v e r i f i e r |
bavieux	b a v i e u x |
bavilla	b a v i l l a |
baville	b a v i l l e |
bavoisin	b a v o i s i n |
bavote	b a v o t e |
bawei	b a w e i |
baweleli	b a w e l e l i |
bawumbu	b a w u m b u |
bawuta	b a w u t a |
bawutaka	b a w u t a k a |
bawuti	b a w u t i |
bawɛnzɛ	b a w ɛ n z ɛ |
baya	b a y a |
bayaka	b a y a k a |
bayaki	b a y a k i |
bayambaka	b a y a m b a k a |
bayambani	b a y a m b a n i |
bayanke	b a y a n k e |
bayaya	b a y a y a |
baye	b a y e |
bayeba	b a y e b a |
bayebaka	b a y e b a k a |
bayebaki	b a y e b a k i |
bayebana	b a y e b a n a |
bayebanaki	b a y e b a n a k i |
bayebi	b a y e b i |
bayebisa	b a y e b i s a |
bayebisaki	b a y e b i s a k i |
bayebisi	b a y e b i s i |
bayei	b a y e i |
bayekoli	b a y e k o l i |
bayele	b a y e l e |
bayemba	b a y e m b a |
bayembi	b a y e m b i |
bayiamerika	b a y i a m e r i k a |
bayimolato	b a y i m o l a t o |
bayindo	b a y i n d o |
bayinigeria	b a y i n i g e r i a |
bayirwanda	b a y i r w a n d a |
bayoka	b a y o k a |
bayokaki	b a y o k a k i |
bayokani	b a y o k a n i |
bayoki	b a y o k i |
bayuma	b a y u m a |
baza	b a z a |
bazadio	b a z a d i o |
bazairois	b a z a i r o i s |
bazalaka	b a z a l a k a |
bazalaki	b a z a l a k i |
bazali	b a z a l i |
bazangaka	b a z a n g a k a |
bazangaki	b a z a n g a k i |
bazangi	b a z a n g i |
bazelaka	b a z e l a k a |
bazelaki	b a z e l a k i |
bazeli	b a z e l i |
bazinda	b a z i n d a |
bazingi	b a z i n g i |
bazokosa	b a z o k o s a |
bazolandalanda	b a z o l a n d a l a n d a |
bazonga	b a z o n g a |
bazongi	b a z o n g i |
bazongisa	b a z o n g i s a |
bazongisi	b a z o n g i s i |
bazotia	b a z o t i a |
bazoyoka	b a z o y o k a |
bazuzi	b a z u z i |
bazwa	b a z w a |
bazwaka	b a z w a k a |
bazwi	b a z w i |
bea	b e a |
beach	b e a c h |
bebe	b e b e |
bebo	b e b o |
belges	b e l g e s |
belgique	b e l g i q u e |
beljiki	b e l j i k i |
benda	b e n d a |
beni	b e n i |
beta	b e t a |
beton	b e t o n |
bibandi	b i b a n d i |
bibatelanzoto	b i b a t e l a n z o t o |
bibembe	b i b e m b e |
bible	b i b l e |
bibonga	b i b o n g a |
bibotu	b i b o t u |
bien	b i e n |
bienvenu	b i e n v e n u |
biki	b i k i |
bikila	b i k i l a |
bikotakota	b i k o t a k o t a |
bil	b i l |
bilamba	b i l a m b a |
bilanga	b i l a n g a |
bilege	b i l e g e |
bilei	b i l e i |
bileko	b i l e k o |
bilembo	b i l e m b o |
bilili	b i l i l i |
billet	b i l l e t |
bilongi	b i l o n g i |
bilɔkɔ	b i l ɔ k ɔ |
bilɛlɔ	b i l ɛ l ɔ |
bilɛngɛ	b i l ɛ n g ɛ |
bilɛngɛbasi	b i l ɛ n g ɛ b a s i |
bindre	b i n d r e |
bingambe	b i n g a m b e |
bino	b i n o |
binso	b i n s o |
binza	b i n z a |
biovallee	b i o v a l l e e |
bipale	b i p a l e |
bipayi	b i p a y i |
bipendu	b i p e n d u |
bisambeti	b i s a m b e t i |
bisekaseka	b i s e k a s e k a |
bisi	b i s i |
bisika	b i s i k a |
biso	b i s o |
bisɛngɔ	b i s ɛ n g ɔ |
bitabe	b i t a b e |
bitalatala	b i t a l a t a l a |
bitambola	b i t a m b o l a |
biteni	b i t e n i |
bitongi	b i t o n g i |
bitumba	b i t u m b a |
bizalaki	b i z a l a k i |
bizaleli	b i z a l e l i |
blueband	b l u e b a n d |
bo	b o |
bobambi	b o b a m b i |
bobele	b o b e l e |
bobomaki	b o b o m a k i |
bobomɛla	b o b o m ɛ l a |
bobongisa	b o b o n g i s a |
boboongo	b o b o o n g o |
boboto	b o b o t o |
bobwakisi	b o b w a k i s i |
boende	b o e n d e |
bofanda	b o f a n d a |
bokabwana	b o k a b w a n a |
bokabwani	b o k a b w a n i |
bokamwani	b o k a m w a n i |
bokasa	b o k a s a |
bokataki	b o k a t a k i |
bokeyi	b o k e y i |
boki	b o k i |
bokilo	b o k i l o |
bokoki	b o k o k i |
bokolongono	b o k o l o n g o n o |
bokolɛmba	b o k o l ɛ m b a |
bokomi	b o k o m i |
bokomisa	b o k o m i s a |
bokomɛla	b o k o m ɛ l a |
bokonzi	b o k o n z i |
bokopakata	b o k o p a k a t a |
bokosilisango	b o k o s i l i s a n g o |
bokota	b o k o t a |
bokotiya	b o k o t i y a |
bokovivre	b o k o v i v r e |
bokoya	b o k o y a |
bokozala	b o k o z a l a |
bokɔnɔ	b o k ɔ n ɔ |
bokɛndaka	b o k ɛ n d a k a |
bokɛndɛ	b o k ɛ n d ɛ |
bolamu	b o l a m u |
bolimbisi	b o l i m b i s i |
bolingaki	b o l i n g a k i |
bolingani	b o l i n g a n i |
bolingi	b o l i n g i |
bolingo	b o l i n g o |
bolobaka	b o l o b a k a |
boloko	b o l o k o |
bolole	b o l o l e |
bolongwa	b o l o n g w a |
boluka	b o l u k a |
bolɛngɛ	b o l ɛ n g ɛ |
bomama	b o m a m a |
bombe	b o m b e |
bomemelaka	b o m e m e l a k a |
bomesana	b o m e s a n a |
bomiyebi	b o m i y e b i |
bomobali	b o m o b a l i |
bomoi	b o m o i |
bomona	b o m o n a |
bomoni	b o m o n i |
bomoyi	b o m o y i |
bomwana	b o m w a n a |
bomwasi	b o m w a s i |
bomɔtɔ	b o m ɔ t ɔ |
bon	b o n |
bondeko	b o n d e k o |
bongo	b o n g o |
boni	b o n i |
bonso	b o n s o |
bonzenga	b o n z e n g a |
boongo	b o o n g o |
bopete	b o p e t e |
bopeto	b o p e t o |
bopotani	b o p o t a n i |
bopoti	b o p o t i |
bord	b o r d |
bosalaka	b o s a l a k a |
bosalaki	b o s a l a k i |
bosana	b o s a n a |
bosi	b o s i |
bosilani	b o s i l a n i |
bosimbi	b o s i m b i |
bosɔtɔ	b o s ɔ t ɔ |
botalaka	b o t a l a k a |
botamboli	b o t a m b o l i |
botango	b o t a n g o |
botata	b o t a t a |
boteki	b o t e k i |
botiki	b o t i k i |
botimola	b o t i m o l a |
botingameli	b o t i n g a m e l i |
botosi	b o t o s i |
botutu	b o t u t u |
bouder	b o u d e r |
boule	b o u l e |
boulevard	b o u l e v a r d |
bowanganaka	b o w a n g a n a k a |
boya	b o y a |
boyangeli	b o y a n g e l i |
boye	b o y e |
boyeba	b o y e b a |
boyebaka	b o y e b a k a |
boyebi	b o y e b i |
boyei	b o y e i |
boyi	b o y i |
boymacon	b o y m a c o n |
boyoka	b o y o k a |
boyokaka	b o y o k a k a |
boza	b o z a |
bozalaka	b o z a l a k a |
bozali	b o z a l i |
bozanga	b o z a n g a |
bozangaka	b o z a n g a k a |
bozela	b o z e l a |
bozoba	b o z o b a |
bozonga	b o z o n g a |
bozongi	b o z o n g i |
bozoyiba	b o z o y i b a |
bozwa	b o z w a |
bozwaki	b o z w a k i |
brazza	b r a z z a |
brazzaville	b r a z z a v i l l e |
brique	b r i q u e |
briques	b r i q u e s |
brown	b r o w n |
bruxelles	b r u x e l l e s |
bsrs	b s r s |
bukavu	b u k a v u |
bukayi	b u k a y i |
bureau	b u r e a u |
bus	b u s |
busalaud	b u s a l a u d |
bush	b u s h |
buta	b u t a |
butu	b u t u |
bwa	b w a |
bwala	b w a l a |
bwale	b w a l e |
ca	c a |
cachot	c a c h o t |
cafe	c a f e |
cailloux	c a i l l o u x |
calecon	c a l e c o n |
calme	c a l m e |
camarade	c a m a r a d e |
camera	c a m e r a |
camp	c a m p |
campagne	c a m p a g n e |
campus	c a m p u s |
candidat	c a n d i d a t |
capitaine	c a p i t a i n e |
carnet	c a r n e t |
casier	c a s i e r |
causer	c a u s e r |
cavale	c a v a l e |
ce	c e |
cent	c e n t |
centcent	c e n t c e n t |
centre	c e n t r e |
centreville	c e n t r e v i l l e |
certificat	c e r t i f i c a t |
cesar	c e s a r |
cfa	c f a |
chambre	c h a m b r e |
chance	c h a n c e |
chantier	c h a n t i e r |
charleroi	c h a r l e r o i |
charlie	c h a r l i e |
chef	c h e f |
chemise	c h e m i s e |
cher	c h e r |
cherche	c h e r c h e |
chercheur	c h e r c h e u r |
cherie	c h e r i e |
chez	c h e z |
chimiste	c h i m i s t e |
chine	c h i n e |
christelle	c h r i s t e l l e |
christian	c h r i s t i a n |
ciment	c i m e n t |
cimetiere	c i m e t i e r e |
cinq	c i n q |
circuit	c i r c u i t |
citoyen	c i t o y e n |
clandestin	c l a n d e s t i n |
client	c l i e n t |
cliniques	c l i n i q u e s |
code	c o d e |
coin	c o i n |
col	c o l |
commande	c o m m a n d e |
commando	c o m m a n d o |
comme	c o m m e |
comment	c o m m e n t |
commercant	c o m m e r c a n t |
commerciale	c o m m e r c i a l e |
commissionnaire	c o m m i s s i o n n a i r e |
compte	c o m p t e |
concentre	c o n c e n t r e |
concours	c o n c o u r s |
confiance	c o n f i a n c e |
congo	c o n g o |
congokinshasa	c o n g o k i n s h a s a |
congolais	c o n g o l a i s |
conseil	c o n s e i l |
contact	c o n t a c t |
contre	c o n t r e |
coop	c o o p |
coopango	c o o p a n g o |
cote	c o t e |
couleur	c o u l e u r |
couloir	c o u l o i r |
coup	c o u p |
courage	c o u r a g e |
courageux	c o u r a g e u x |
courant	c o u r a n t |
crane	c r a n e |
creche	c r e c h e |
crise	c r i s e |
croix	c r o i x |
croixrouge	c r o i x r o u g e |
cuir	c u i r |
cure	c u r e |
daba	d a b a |
daccouchement	d a c c o u c h e m e n t |
dahan	d a h a n |
dailleurs	d a i l l e u r s |
dais	d a i s |
dako	d a k o |
dam	d a m |
dame	d a m e |
dammage	d a m m a g e |
danki	d a n k i |
dans	d a n s |
danse	d a n s e |
danze	d a n z e |
dasile	d a s i l e |
de	d e |
deception	d e c e p t i o n |
defile	d e f i l e |
deja	d e j a |
demande	d e m a n d e |
demandeur	d e m a n d e u r |
dembo	d e m b o |
dendal	d e n d a l |
depot	d e p o t |
depuis	d e p u i s |
depute	d e p u t e |
des	d e s |
detat	d e t a t |
deux	d e u x |
dgm	d g m |
dhygiene	d h y g i e n e |
diamant	d i a m a n t |
diamba	d i a m b a |
dici	d i c i |
die	d i e |
difference	d i f f e r e n c e |
dikosi	d i k o s i |
diplome	d i p l o m e |
dirait	d i r a i t |
directeur	d i r e c t e u r |
dit	d i t |
dix	d i x |
dixneuve	d i x n e u v e |
djalɛlɔ	d j a l ɛ l ɔ |
djef	d j e f |
djibril	d j i b r i l |
djo	d j o |
doctorat	d o c t o r a t |
dolar	d o l a r |
dolare	d o l a r e |
dollar	d o l l a r |
dollars	d o l l a r s |
donc	d o n c |
dongolomiso	d o n g o l o m i s o |
dossier	d o s s i e r |
drogue	d r o g u e |
droit	d r o i t |
du	d u |
e	e |
ebakata	e b a k a t a |
ebale	e b a l e |
ebaluki	e b a l u k i |
ebalusaki	e b a l u s a k i |
ebanda	e b a n d a |
ebandaka	e b a n d a k a |
ebandakaki	e b a n d a k a k i |
ebandaki	e b a n d a k i |
ebandeli	e b a n d e l i |
ebandi	e b a n d i |
ebayisa	e b a y i s a |
ebeba	e b e b a |
ebebaka	e b e b a k a |
ebebaki	e b e b a k i |
ebelaki	e b e l a k i |
ebele	e b e l e |
ebelisaka	e b e l i s a k a |
ebembe	e b e m b e |
ebenga	e b e n g a |
ebengana	e b e n g a n a |
ebengi	e b e n g i |
ebeta	e b e t a |
ebetama	e b e t a m a |
ebeti	e b e t i |
ebima	e b i m a |
ebimaka	e b i m a k a |
ebimaki	e b i m a k i |
ebimeli	e b i m e l i |
ebimi	e b i m i |
ebimisaki	e b i m i s a k i |
eboke	e b o k e |
ebola	e b o l a |
eboma	e b o m a |
ebonga	e b o n g a |
ebongaki	e b o n g a k i |
ebongi	e b o n g i |
ebongo	e b o n g o |
ebongwana	e b o n g w a n a |
ebongwanaki	e b o n g w a n a k i |
ebongwani	e b o n g w a n i |
ebonzeli	e b o n z e l i |
ebosanisaki	e b o s a n i s a k i |
ebukanaki	e b u k a n a k i |
ebuki	e b u k i |
ebungi	e b u n g i |
ebwaka	e b w a k a |
echanger	e c h a n g e r |
ecole	e c o l e |
economierurale	e c o n o m i e r u r a l e |
ecran	e c r a n |
ecriture	e c r i t u r e |
editions	e d i t i o n s |
ee	e e |
eeeh	e e e h |
efandaka	e f a n d a k a |
effort	e f f o r t |
efuku	e f u k u |
efungwamaki	e f u n g w a m a k i |
efungwami	e f u n g w a m i |
efutaka	e f u t a k a |
egangaki	e g a n g a k i |
egengaka	e g e n g a k a |
ekabolaka	e k a b o l a k a |
ekaboli	e k a b o l i |
ekala	e k a l a |
ekangaki	e k a n g a k i |
ekangama	e k a n g a m a |
ekangamakangama	e k a n g a m a k a n g a m a |
ekangami	e k a n g a m i |
ekangi	e k a n g i |
ekatana	e k a t a n a |
ekati	e k a t i |
ekei	e k e i |
ekeko	e k e k o |
ekenge	e k e n g e |
ekeyi	e k e y i |
ekimi	e k i m i |
ekipaka	e k i p a k a |
ekita	e k i t a |
ekiti	e k i t i |
ekobela	e k o b e l a |
ekobima	e k o b i m a |
ekobimisa	e k o b i m i s a |
ekobinisa	e k o b i n i s a |
ekobonga	e k o b o n g a |
ekobosana	e k o b o s a n a |
ekoka	e k o k a |
ekokabola	e k o k a b o l a |
ekokaka	e k o k a k a |
ekokaki	e k o k a k i |
ekokana	e k o k a n a |
ekokani	e k o k a n i |
ekoki	e k o k i |
ekokitisa	e k o k i t i s a |
ekokoka	e k o k o k a |
ekokoma	e k o k o m a |
ekokomisa	e k o k o m i s a |
ekokɛndɛ	e k o k ɛ n d ɛ |
ekolaki	e k o l a k i |
ekolo	e k o l o |
ekoma	e k o m a |
ekomaka	e k o m a k a |
ekomaki	e k o m a k i |
ekomeli	e k o m e l i |
ekomi	e k o m i |
ekomisa	e k o m i s a |
ekomisaka	e k o m i s a k a |
ekomonana	e k o m o n a n a |
ekondingisa	e k o n d i n g i s a |
ekonzo	e k o n z o |
ekopesa	e k o p e s a |
ekosala	e k o s a l a |
ekosema	e k o s e m a |
ekosenga	e k o s e n g a |
ekosila	e k o s i l a |
ekosimba	e k o s i m b a |
ekosopa	e k o s o p a |
ekosopana	e k o s o p a n a |
ekosuka	e k o s u k a |
ekosukela	e k o s u k e l a |
ekotaka	e k o t a k a |
ekotaki	e k o t a k i |
ekotekama	e k o t e k a m a |
ekoteli	e k o t e l i |
ekoti	e k o t i |
ekowuta	e k o w u t a |
ekoya	e k o y a |
ekoyembama	e k o y e m b a m a |
ekoyokana	e k o y o k a n a |
ekozala	e k o z a l a |
ekozwa	e k o z w a |
ekufa	e k u f a |
ekuke	e k u k e |
ekutaka	e k u t a k a |
ekutana	e k u t a n a |
ekutanaka	e k u t a n a k a |
ekweya	e k w e y a |
ekweyaki	e k w e y a k i |
ekɛnda	e k ɛ n d a |
ekɛndaki	e k ɛ n d a k i |
ekɛndɛ	e k ɛ n d ɛ |
ekɛndɛki	e k ɛ n d ɛ k i |
elaka	e l a k a |
elakisaka	e l a k i s a k a |
elakisi	e l a k i s i |
elali	e l a l i |
elalisaka	e l a l i s a k a |
elamba	e l a m b a |
elambo	e l a m b o |
elandaka	e l a n d a k a |
elandaki	e l a n d a k i |
elandi	e l a n d i |
elata	e l a t a |
elateli	e l a t e l i |
eleka	e l e k a |
elekaka	e l e k a k a |
elekaki	e l e k a k i |
elekanaka	e l e k a n a k a |
elekanaki	e l e k a n a k i |
eleki	e l e k i |
eleko	e l e k o |
elema	e l e m a |
elembisaki	e l e m b i s a k i |
eliaki	e l i a k i |
eliamaka	e l i a m a k a |
eliezer	e l i e z e r |
elikya	e l i k y a |
elima	e l i m a |
elingaki	e l i n g a k i |
elingi	e l i n g i |
elobaka	e l o b a k a |
elobeli	e l o b e l i |
elonga	e l o n g a |
elongi	e l o n g i |
elongo	e l o n g o |
elongola	e l o n g o l a |
elongwa	e l o n g w a |
elongwe	e l o n g w e |
elooko	e l o o k o |
elulu	e l u l u |
eluta	e l u t a |
elɔkɔ	e l ɔ k ɔ |
elɔkɔteli	e l ɔ k ɔ t e l i |
elɛngi	e l ɛ n g i |
elɛngɛ	e l ɛ n g ɛ |
elɛngɛlamaki	e l ɛ n g ɛ l a m a k i |
emateli	e m a t e l i |
emati	e m a t i |
embana	e m b a n a |
embrouillement	e m b r o u i l l e m e n t |
emeki	e m e k i |
emelaka	e m e l a k a |
ememaka	e m e m a k a |
emesana	e m e s a n a |
emission	e m i s s i o n |
emonanaka	e m o n a n a k a |
emonani	e m o n a n i |
emɛlamaka	e m ɛ l a m a k a |
en	e n |
endimi	e n d i m i |
enfous	e n f o u s |
engambe	e n g a m b e |
engumba	e n g u m b a |
engumbamokonzi	e n g u m b a m o k o n z i |
eninganaki	e n i n g a n a k i |
eningani	e n i n g a n i |
entre	e n t r e |
entretemps	e n t r e t e m p s |
enzɔmbɔ	e n z ɔ m b ɔ |
epaka	e p a k a |
epanzanaki	e p a n z a n a k i |
epayi	e p a y i |
epemelo	e p e m e l o |
epesa	e p e s a |
epesaka	e p e s a k a |
epesela	e p e s e l a |
epesi	e p e s i |
eponi	e p o n i |
epumbuki	e p u m b u k i |
epumbwi	e p u m b w i |
erataka	e r a t a k a |
esakola	e s a k o l a |
esala	e s a l a |
esalaka	e s a l a k a |
esalaki	e s a l a k i |
esalamaka	e s a l a m a k a |
esalamaki	e s a l a m a k i |
esalami	e s a l a m i |
esalemaka	e s a l e m a k a |
esalemi	e s a l e m i |
esali	e s a l i |
esanga	e s a n g a |
esangani	e s a n g a n i |
esangisaki	e s a n g i s a k i |
escaliers	e s c a l i e r s |
esekeli	e s e k e l i |
esemi	e s e m i |
esengaka	e s e n g a k a |
esengelaki	e s e n g e l a k i |
esengeleki	e s e n g e l e k i |
esengeli	e s e n g e l i |
esengi	e s e n g i |
esi	e s i |
esika	e s i k a |
esila	e s i l a |
esilaka	e s i l a k a |
esilaki	e s i l a k i |
esili	e s i l i |
esilisi	e s i l i s i |
esimba	e s i m b a |
esimbaki	e s i m b a k i |
esopani	e s o p a n i |
esprit	e s p r i t |
est	e s t |
estce	e s t c e |
esukaki	e s u k a k i |
esuki	e s u k i |
esulungutu	e s u l u n g u t u |
esunda	e s u n d a |
esungaka	e s u n g a k a |
esɔsɔlaki	e s ɔ s ɔ l a k i |
esɛngɔ	e s ɛ n g ɔ |
et	e t |
etage	e t a g e |
etali	e t a l i |
etambola	e t a m b o l a |
etambolaka	e t a m b o l a k a |
etamboli	e t a m b o l i |
etana	e t a n a |
etangama	e t a n g a m a |
ete	e t e |
etekamaka	e t e k a m a k a |
etekami	e t e k a m i |
etelemaki	e t e l e m a k i |
etelemelo	e t e l e m e l o |
etelemi	e t e l e m i |
eteyelo	e t e y e l o |
etikala	e t i k a l a |
etikalaka	e t i k a l a k a |
etikalaki	e t i k a l a k i |
etikali	e t i k a l i |
etinda	e t i n d a |
etindaki	e t i n d a k i |
etindamalili	e t i n d a m a l i l i |
etiya	e t i y a |
etokisaki	e t o k i s a k i |
etonda	e t o n d a |
etondaka	e t o n d a k a |
etondaki	e t o n d a k i |
etondi	e t o n d i |
etongama	e t o n g a m a |
etrangers	e t r a n g e r s |
etudiant	e t u d i a n t |
etumba	e t u m b a |
etungisaki	e t u n g i s a k i |
etuni	e t u n i |
etyɔla	e t y ɔ l a |
etɔnga	e t ɔ n g a |
ewumelaka	e w u m e l a k a |
ewumelaki	e w u m e l a k i |
ewumeli	e w u m e l i |
ewuta	e w u t a |
ewutaka	e w u t a k a |
ewutaki	e w u t a k i |
ewuti	e w u t i |
excellence	e x c e l l e n c e |
excursion	e x c u r s i o n |
exellence	e x e l l e n c e |
exetat	e x e t a t |
exode	e x o d e |
extrait	e x t r a i t |
eya	e y a |
eyaka	e y a k a |
eyaki	e y a k i |
eyano	e y a n o |
eye	e y e |
eyebana	e y e b a n a |
eyebanaka	e y e b a n a k a |
eyebanaki	e y e b a n a k i |
eyebi	e y e b i |
eyelaka	e y e l a k a |
eyeli	e y e l i |
eyemba	e y e m b a |
eyenga	e y e n g a |
eyindi	e y i n d i |
eyindisaki	e y i n d i s a k i |
eyinelo	e y i n e l o |
eyingela	e y i n g e l a |
eyokaki	e y o k a k i |
eyoki	e y o k i |
eza	e z a |
ezala	e z a l a |
ezalaka	e z a l a k a |
ezalaki	e z a l a k i |
ezali	e z a l i |
ezanga	e z a n g a |
ezangaka	e z a n g a k a |
ezangi	e z a n g i |
ezipi	e z i p i |
ezoboma	e z o b o m a |
ezokaki	e z o k a k i |
ezonga	e z o n g a |
ezongaka	e z o n g a k a |
ezongaki	e z o n g a k i |
ezonganga	e z o n g a n g a |
ezongeli	e z o n g e l i |
ezongi	e z o n g i |
ezosala	e z o s a l a |
ezosalama	e z o s a l a m a |
ezosenga	e z o s e n g a |
ezosilisa	e z o s i l i s a |
ezotala	e z o t a l a |
ezwaka	e z w a k a |
ezwama	e z w a m a |
ezwamaki	e z w a m a k i |
ezwi	e z w i |
face	f a c e |
facilement	f a c i l e m e n t |
fallait	f a l l a i t |
famille	f a m i l l e |
fanda	f a n d a |
farde	f a r d e |
faut	f a u t |
faux	f a u x |
faze	f a z e |
felice	f e l i c e |
ferme	f e r m e |
feti	f e t i |
feuille	f e u i l l e |
filipo	f i l i p o |
film	f i l m |
fimbu	f i m b u |
finalement	f i n a l e m e n t |
fkm	f k m |
folie	f o l i e |
folis	f o l i s |
forman	f o r m a n |
forraine	f o r r a i n e |
foto	f o t o |
fou	f o u |
franc	f r a n c |
francais	f r a n c a i s |
france	f r a n c e |
francs	f r a n c s |
fufu	f u f u |
